gng,maiden_artoria patch,gngmaiden (Ghosts'n Goblins - Maiden Artoria Edition World? 1),knight_artoria patch,gngknight  (Ghosts'n Goblins - Knight Artoria Edition World? 1)
mm_c_04,mm_c_maiden_04.bps,mm_c_maiden_04,mm_c_knight_04.bps,mm_c_knight_04
mm_c_03,,mm_c_03,,mm_c_03
mm_c_05,mm_c_maiden_05.bps,mm_c_maiden_05,mm_c_knight_05.bps,mm_c_knight_05
gg2.bin,,gg2.bin,,gg2.bin
gg1.bin,gg1maiden.bps,gg1maiden.bin,gg1knight.bps,gg1knight.bin
gg11.bin,,gg11.bin,,gg11.bin
gg10.bin,,gg10.bin,,gg10.bin
gg9.bin,,gg9.bin,,gg9.bin
gg8.bin,,gg8.bin,,gg8.bin
gg7.bin,,gg7.bin,,gg7.bin
gg6.bin,,gg6.bin,,gg6.bin
gg17.bin,gg17maiden.bps,gg17maiden.bin,gg17knight.bps,gg17knight.bin
gg16.bin,gg16maiden.bps,gg16maiden.bin,gg16knight.bps,gg16knight.bin
gg15.bin,gg15maiden.bps,gg15maiden.bin,gg15knight.bps,gg15knight.bin
gg14.bin,gg14maiden.bps,gg14maiden.bin,gg14knight.bps,gg14knight.bin
gg13.bin,gg13maiden.bps,gg13maiden.bin,gg13knight.bps,gg13knight.bin
gg12.bin,gg12maiden.bps,gg12maiden.bin,gg12knight.bps,gg12knight.bin
tbp24s10.14k,,tbp24s10.14k,,tbp24s10.14k
63s141.2e,,63s141.2e,,63s141.2e
gg-pal10l8.bin,,gg-pal10l8.bin,,gg-pal10l8.bin
,,,,
gnga,maiden_artoria patch,gngmaidena (Ghosts'n Goblins - Maiden Artoria Edition World? 2),knight_artoria patch,gngknighta  (Ghosts'n Goblins - Knight Artoria Edition World? 2)
mjg_04.10n,mjg_04maiden.bps,mjg_04maiden.10n,mjg_04knight.bps,mjg_04knight.10n
mjg_03.8n,,mjg_03.8n,,mjg_03.8n
mjg_05.12n,mjg_05maiden.bps,mjg_05maiden.12n,mjg_05knight.bps,mjg_05knight.12n
capsom_m5m23256p_p_62410p_mjg_02.14h,,capsom_m5m23256p_p_62410p_mjg_02.14h,,capsom_m5m23256p_p_62410p_mjg_02.14h
capsom_m5m23256p_p_616105_mjg_01.11e,capsom_m5m23256p_p_616105_mjg_01m.bps,capsom_m5m23256p_p_616105_mjg_01m.11e,capsom_m5m23256p_p_616105_mjg_01k.bps,capsom_m5m23256p_p_616105_mjg_01k.11e
capsom_m5m23256p_p_616105_mmg_08.3e,,capsom_m5m23256p_p_616105_mmg_08.3e,,capsom_m5m23256p_p_616105_mmg_08.3e
capsom_m5m23256p_p_61710z_mmg_07.3c,,capsom_m5m23256p_p_61710z_mmg_07.3c,,capsom_m5m23256p_p_61710z_mmg_07.3c
capsom_m5m23256p_p_616105_mmg_06.3b,,capsom_m5m23256p_p_616105_mmg_06.3b,,capsom_m5m23256p_p_616105_mmg_06.3b
capsom_m5m23256p_p_61710g_mjg_12.4n,capsom_m5m23256p_p_61710g_mjg_12m.bps,capsom_m5m23256p_p_61710g_mjg_12m.4n,capsom_m5m23256p_p_61710g_mjg_12k.bps,capsom_m5m23256p_p_61710g_mjg_12k.4n
capsom_m5m23256p_p_620108_mjg_11.3n,capsom_m5m23256p_p_620108_mjg_11m.bps,capsom_m5m23256p_p_620108_mjg_11m.3n,capsom_m5m23256p_p_620108_mjg_11k.bps,capsom_m5m23256p_p_620108_mjg_11k.3n
capsom_m5m23256p_p_62410p_mjg_10.4l,capsom_m5m23256p_p_62410p_mjg_10m.bps,capsom_m5m23256p_p_62410p_mjg_10m.4l,capsom_m5m23256p_p_62410p_mjg_10k.bps,capsom_m5m23256p_p_62410p_mjg_10k.4l
capsom_m5m23256p_p_61710g_mjg_09.3l,capsom_m5m23256p_p_61710g_mjg_09m.bps,capsom_m5m23256p_p_61710g_mjg_09m.3l,capsom_m5m23256p_p_61710g_mjg_09k.bps,capsom_m5m23256p_p_61710g_mjg_09k.3l
m-02_63s141.14k,,m-02_63s141.14k,,m-02_63s141.14k
m-01_63s141.2e,,m-01_63s141.2e,,m-01_63s141.2e
gg-pal10l8.bin,,gg-pal10l8.bin,,gg-pal10l8.bin
,,,,
gngb,maiden_artoria patch,gngmaidenb (Ghosts'n Goblins - Maiden Artoria Edition World? 3),knight_artoria patch,gngknightb (Ghosts'n Goblins - Knight Artoria Edition World? 3)
gg4.bin,gg4maiden.bps,gg4maiden.bin,gg4knight.bps,gg4knight.bin
gg3.bin,,gg3.bin,,gg3.bin
gg5.bin,gg5maiden.bps,gg5maiden.bin,gg5knight.bps,gg5knight.bin
gg2.bin,,gg2.bin,,gg2.bin
gg1.bin,gg1maiden.bps,gg1maiden.bin,gg1knight.bps,gg1knight.bin
gg11.bin,,gg11.bin,,gg11.bin
gg10.bin,,gg10.bin,,gg10.bin
gg9.bin,,gg9.bin,,gg9.bin
gg8.bin,,gg8.bin,,gg8.bin
gg7.bin,,gg7.bin,,gg7.bin
gg6.bin,,gg6.bin,,gg6.bin
gg17.bin,gg17maiden.bps,gg17maiden.bin,gg17knight.bps,gg17knight.bin
gg16.bin,gg16maiden.bps,gg16maiden.bin,gg16knight.bps,gg16knight.bin
gg15.bin,gg15maiden.bps,gg15maiden.bin,gg15knight.bps,gg15knight.bin
gg14.bin,gg14maiden.bps,gg14maiden.bin,gg14knight.bps,gg14knight.bin
gg13.bin,gg13maiden.bps,gg13maiden.bin,gg13knight.bps,gg13knight.bin
gg12.bin,gg12maiden.bps,gg12maiden.bin,gg12knight.bps,gg12knight.bin
tbp24s10.14k,,tbp24s10.14k,,tbp24s10.14k
63s141.2e,,63s141.2e,,63s141.2e
gg-pal10l8.bin,,gg-pal10l8.bin,,gg-pal10l8.bin
,,,,
,,,,
gngc,maiden_artoria patch,gngmaidenc (Ghosts'n Goblins - Maiden Artoria Edition World? 4),knight_artoria patch,gngknightc (Ghosts'n Goblins - Knight Artoria Edition World? 4)
gng.n10,gngmaiden.n10.bps,gngmaiden.n10,gngknight.n10.bps,gngknight.n10
gng.n9,,gng.n9,,gng.n9
gng.n8,,gng.n8,,gng.n8
gng.n13,,gng.n13,,gng.n13
gng.n12,gngmaiden.n12.bps,gngmaiden.n12,gngknight.n12.bps,gngknight.n12
gg2.bin,,gg2.bin,,gg2.bin
gg1.bin,gg1maiden.bps,gg1maiden.bin,gg1knight.bps,gg1knight.bin
gg11.bin,,gg11.bin,,gg11.bin
gg10.bin,,gg10.bin,,gg10.bin
gg9.bin,,gg9.bin,,gg9.bin
gg8.bin,,gg8.bin,,gg8.bin
gg7.bin,,gg7.bin,,gg7.bin
gg6.bin,,gg6.bin,,gg6.bin
gg17.bin,gg17maiden.bps,gg17maiden.bin,gg17knight.bps,gg17knight.bin
gg16.bin,gg16maiden.bps,gg16maiden.bin,gg16knight.bps,gg16knight.bin
gg15.bin,gg15maiden.bps,gg15maiden.bin,gg15knight.bps,gg15knight.bin
gg14.bin,gg14maiden.bps,gg14maiden.bin,gg14knight.bps,gg14knight.bin
gg13.bin,gg13maiden.bps,gg13maiden.bin,gg13knight.bps,gg13knight.bin
gg12.bin,gg12maiden.bps,gg12maiden.bin,gg12knight.bps,gg12knight.bin
tbp24s10.14k,,tbp24s10.14k,,tbp24s10.14k
63s141.2e,,63s141.2e,,63s141.2e
,,,,
gngt,maiden_artoria patch,gngmaident (Ghosts'n Goblins - Maiden Artoria Edition (US)),knight_artoria patch,gngknightt (Ghosts'n Goblins - Knight Artoria Edition (US))
mmt04d.10n,mmt04dmaiden.10n.bps,mmt04dmaiden.10n,mmt04dknight.10n.bps,mmt04dknight.10n
mmt03d.8n,,mmt03d.8n,,mmt03d.8n
mmt05d.13n,mmt05dmaiden.13n.bps,mmt05dmaiden.13n,mmt05dknight.13n.bps,mmt05dknight.13n
mm02.14h,,mm02.14h,,mm02.14h
mm01.11e,gg1maiden.bps,mm01maiden.11e,gg1knight.bps,mm01knight.11e
mm11.3e,,mm11.3e,,mm11.3e
mm10.1e,,mm10.1e,,mm10.1e
mm09.3c,,mm09.3c,,mm09.3c
mm08.1c,,mm08.1c,,mm08.1c
mm07.3b,,mm07.3b,,mm07.3b
mm06.1b,,mm06.1b,,mm06.1b
mm17.4n,gg17maiden.bps,mm17maiden.4n,gg17knight.bps,mm17knight.4n
